LapNumber,LapTime,Compound,Position
1.0,0 days 00:40:56.330000,MEDIUM,1.0
2.0,,HARD,1.0
3.0,0 days 00:01:24.624000,HARD,1.0
4.0,0 days 00:01:22.625000,HARD,1.0
5.0,0 days 00:01:21.795000,HARD,1.0
6.0,0 days 00:01:21.145000,HARD,1.0
7.0,0 days 00:01:20.980000,HARD,1.0
8.0,0 days 00:01:21.030000,HARD,1.0
9.0,0 days 00:01:20.114000,HARD,1.0
10.0,0 days 00:01:20.775000,HARD,1.0
11.0,0 days 00:01:21.046000,HARD,1.0
12.0,0 days 00:01:20.252000,HARD,1.0
13.0,0 days 00:01:19.017000,HARD,1.0
14.0,0 days 00:01:19.913000,HARD,1.0
15.0,0 days 00:01:19.838000,HARD,1.0
16.0,0 days 00:01:20.156000,HARD,1.0
17.0,0 days 00:01:20.279000,HARD,1.0
18.0,0 days 00:01:19.580000,HARD,1.0
19.0,0 days 00:01:18.842000,HARD,1.0
20.0,0 days 00:01:18.724000,HARD,1.0
21.0,0 days 00:01:18.472000,HARD,1.0
22.0,0 days 00:01:18.620000,HARD,1.0
23.0,0 days 00:01:18.458000,HARD,1.0
24.0,0 days 00:01:18.725000,HARD,1.0
25.0,0 days 00:01:18.973000,HARD,1.0
26.0,0 days 00:01:18.445000,HARD,1.0
27.0,0 days 00:01:18.351000,HARD,1.0
28.0,0 days 00:01:18.710000,HARD,1.0
29.0,0 days 00:01:19.053000,HARD,1.0
30.0,0 days 00:01:19.935000,HARD,1.0
31.0,0 days 00:01:18.393000,HARD,1.0
32.0,0 days 00:01:19.125000,HARD,1.0
33.0,0 days 00:01:18.494000,HARD,1.0
34.0,0 days 00:01:19.319000,HARD,1.0
35.0,0 days 00:01:18.530000,HARD,1.0
36.0,0 days 00:01:18.689000,HARD,1.0
37.0,0 days 00:01:18.925000,HARD,1.0
38.0,0 days 00:01:18.528000,HARD,1.0
39.0,0 days 00:01:18.181000,HARD,1.0
40.0,0 days 00:01:18.733000,HARD,1.0
41.0,0 days 00:01:18.694000,HARD,1.0
42.0,0 days 00:01:19.277000,HARD,1.0
43.0,0 days 00:01:17.865000,HARD,1.0
44.0,0 days 00:01:18.276000,HARD,1.0
45.0,0 days 00:01:18.541000,HARD,1.0
46.0,0 days 00:01:18.567000,HARD,1.0
47.0,0 days 00:01:19.185000,HARD,1.0
48.0,0 days 00:01:17.941000,HARD,1.0
49.0,0 days 00:01:18.506000,HARD,1.0
50.0,0 days 00:01:18.185000,HARD,1.0
51.0,0 days 00:01:17.790000,HARD,1.0
52.0,0 days 00:01:18.311000,HARD,1.0
53.0,0 days 00:01:17.748000,HARD,1.0
54.0,0 days 00:01:17.357000,HARD,1.0
55.0,0 days 00:01:17.444000,HARD,1.0
56.0,0 days 00:01:17.266000,HARD,1.0
57.0,0 days 00:01:17.640000,HARD,1.0
58.0,0 days 00:01:17.028000,HARD,1.0
59.0,0 days 00:01:17.034000,HARD,1.0
60.0,0 days 00:01:16.414000,HARD,1.0
61.0,0 days 00:01:16.863000,HARD,1.0
62.0,0 days 00:01:17.454000,HARD,1.0
63.0,0 days 00:01:16.971000,HARD,1.0
64.0,0 days 00:01:16.560000,HARD,1.0
65.0,0 days 00:01:16.607000,HARD,1.0
66.0,0 days 00:01:16.489000,HARD,1.0
67.0,0 days 00:01:15.941000,HARD,1.0
68.0,0 days 00:01:16.082000,HARD,1.0
69.0,0 days 00:01:16.373000,HARD,1.0
70.0,0 days 00:01:15.767000,HARD,1.0
71.0,0 days 00:01:15.162000,HARD,1.0
72.0,0 days 00:01:15.547000,HARD,1.0
73.0,0 days 00:01:16.219000,HARD,1.0
74.0,0 days 00:01:16.105000,HARD,1.0
75.0,0 days 00:01:16.387000,HARD,1.0
76.0,0 days 00:01:16.808000,HARD,1.0
77.0,0 days 00:01:16.933000,HARD,1.0
78.0,0 days 00:01:18.636000,HARD,1.0
