DriverID,Driver,GranPrix,Stint,Compound,TireLife,TireMeteres
26,KVY,Canadian Grand Prix,1.0,MEDIUM,12.0,52332
26,KVY,Canadian Grand Prix,2.0,HARD,57.0,248577
