Driver,GranPrix,Stint,Compound,TireLife,TireMeteres
18,United States Grand Prix,1.0,SUPERSOFT,2.0,11026
18,United States Grand Prix,3.0,SOFT,39.0,215007
18,United States Grand Prix,4.0,ULTRASOFT,16.0,88208
