DriverID,Driver,GranPrix,Stint,Compound,TireLife,TireMeteres
55,SAI,Abu Dhabi Grand Prix,1.0,ULTRASOFT,37.0,195397
55,SAI,Abu Dhabi Grand Prix,2.0,SUPERSOFT,18.0,95058
