DriverID,Driver,GranPrix,Stint,Compound,TireLife,TireMeters
7,RAI,Russian Grand Prix,1.0,ULTRASOFT,20.0,116960
7,RAI,Russian Grand Prix,2.0,SOFT,35.0,204680
