DriverID,Driver,GranPrix,Stint,Compound,TireLife,TireMeters
5,VET,Bahrain Grand Prix,1.0,SUPERSOFT,19.0,102828
5,VET,Bahrain Grand Prix,2.0,SOFT,39.0,211068
