Driver,GranPrix,Stint,Compound,TireLife,TireMeteres
44,Abu Dhabi Grand Prix,1.0,ULTRASOFT,10.0,52810
44,Abu Dhabi Grand Prix,2.0,SUPERSOFT,48.0,253488
