DriverID,Driver,GranPrix,Stint,Compound,TireLife,TireMeters
11,PER,Mexican Grand Prix,1.0,SUPERSOFT,30.0,129120
11,PER,Mexican Grand Prix,2.0,ULTRASOFT,11.0,47344
