Driver,GranPrix,Stint,Compound,TireLife,TireMeteres
77,Chinese Grand Prix,1.0,MEDIUM,24.0,130824
77,Chinese Grand Prix,2.0,HARD,15.0,81765
77,Chinese Grand Prix,3.0,MEDIUM,20.0,109020
