DriverID,Driver,GranPrix,Stint,Compound,TireLife,TireMeteres
33,VER,Russian Grand Prix,1.0,SOFT,42.0,245616
33,VER,Russian Grand Prix,2.0,ULTRASOFT,10.0,58480
