DriverID,Driver,GranPrix,Stint,Compound,TireLife,TireMeteres
7,RAI,Monaco Grand Prix,1.0,HYPERSOFT,19.0,63403
7,RAI,Monaco Grand Prix,2.0,ULTRASOFT,61.0,203557
