Driver,GranPrix,Stint,Compound,TireLife,TireMeteres
5,Spanish Grand Prix,1.0,SOFT,19.0,88483
5,Spanish Grand Prix,2.0,MEDIUM,24.0,111768
5,Spanish Grand Prix,3.0,MEDIUM,25.0,116425
