DriverID,Driver,GranPrix,Stint,Compound,TireLife,TireMeters
11,PER,Abu Dhabi Grand Prix,1.0,MEDIUM,37.0,195397
11,PER,Abu Dhabi Grand Prix,2.0,HARD,17.0,89777
