DriverID,Driver,GranPrix,Stint,Compound,TireLife,TireMeters
11,PER,Abu Dhabi Grand Prix,1.0,ULTRASOFT,26.0,137306
11,PER,Abu Dhabi Grand Prix,2.0,SUPERSOFT,29.0,153149
