DriverID,Driver,GranPrix,Stint,Compound,TireLife,TireMeteres
7,RAI,Mexican Grand Prix,1.0,MEDIUM,15.0,64560
7,RAI,Mexican Grand Prix,2.0,HARD,37.0,159248
7,RAI,Mexican Grand Prix,3.0,MEDIUM,6.0,25824
