DriverID,Driver,GranPrix,Stint,Compound,TireLife,TireMeteres
27,HUL,Hungarian Grand Prix,1.0,MEDIUM,36.0,157716
27,HUL,Hungarian Grand Prix,2.0,SOFT,33.0,144573
