DriverID,Driver,GranPrix,Stint,Compound,TireLife,TireMeteres
10,GAS,Austrian Grand Prix,1.0,SOFT,28.0,120904
10,GAS,Austrian Grand Prix,2.0,HARD,45.0,194310
