DriverID,Driver,GranPrix,Stint,Compound,TireLife,TireMeters
23,ALB,Japanese Grand Prix,1.0,SOFT,18.0,104526
23,ALB,Japanese Grand Prix,2.0,MEDIUM,19.0,110333
23,ALB,Japanese Grand Prix,3.0,SOFT,22.0,127754
