DriverID,Driver,GranPrix,Stint,Compound,TireLife,TireMeters
63,RUS,Singapore Grand Prix,1.0,MEDIUM,1.0,4940
63,RUS,Singapore Grand Prix,2.0,HARD,34.0,167960
