DriverID,Driver,GranPrix,Stint,Compound,TireLife,TireMeters
35,SIR,Italian Grand Prix,1.0,SUPERSOFT,36.0,208548
35,SIR,Italian Grand Prix,2.0,SOFT,15.0,86895
