DriverID,Driver,GranPrix,Stint,Compound,TireLife,TireMeteres
10,GAS,Singapore Grand Prix,1.0,HYPERSOFT,25.0,123500
10,GAS,Singapore Grand Prix,2.0,ULTRASOFT,34.0,167960
