DriverID,Driver,GranPrix,Stint,Compound,TireLife,TireMeters
20,MAG,Hungarian Grand Prix,1.0,MEDIUM,38.0,166478
20,MAG,Hungarian Grand Prix,2.0,SOFT,31.0,135811
