DriverID,Driver,GranPrix,Stint,Compound,TireLife,TireMeteres
20,MAG,Italian Grand Prix,1.0,SOFT,20.0,115860
20,MAG,Italian Grand Prix,2.0,MEDIUM,14.0,81102
20,MAG,Italian Grand Prix,3.0,SOFT,12.0,69516
