DriverID,Driver,GranPrix,Stint,Compound,TireLife,TireMeteres
11,PER,Chinese Grand Prix,1.0,MEDIUM,20.0,109020
11,PER,Chinese Grand Prix,2.0,HARD,35.0,190785
