DriverID,Driver,GranPrix,Stint,Compound,TireLife,TireMeteres
35,SIR,Spanish Grand Prix,1.0,SOFT,3.0,13971
35,SIR,Spanish Grand Prix,2.0,MEDIUM,20.0,93140
35,SIR,Spanish Grand Prix,3.0,MEDIUM,19.0,88483
35,SIR,Spanish Grand Prix,4.0,SUPERSOFT,22.0,102454
