DriverID,Driver,GranPrix,Stint,Compound,TireLife,TireMeters
27,HUL,Chinese Grand Prix,1.0,ULTRASOFT,48.0,261648
27,HUL,Chinese Grand Prix,2.0,MEDIUM,1.0,5451
27,HUL,Chinese Grand Prix,3.0,SOFT,9.0,49059
