DriverID,Driver,GranPrix,Stint,Compound,TireLife,TireMeteres
7,RAI,United States Grand Prix,1.0,ULTRASOFT,24.0,132312
7,RAI,United States Grand Prix,2.0,SOFT,35.0,192955
