DriverID,Driver,GranPrix,Stint,Compound,TireLife,TireMeteres
26,KVY,Abu Dhabi Grand Prix,1.0,HARD,40.0,211240
26,KVY,Abu Dhabi Grand Prix,2.0,MEDIUM,14.0,73934
