Driver,GranPrix,Stint,Compound,TireLife,TireMeteres
10,United States Grand Prix,1.0,SOFT,22.0,121286
10,United States Grand Prix,2.0,HARD,34.0,187442
10,United States Grand Prix,3.0,SOFT,3.0,16539
