Driver,GranPrix,Stint,Compound,TireLife,TireMeteres
20,Abu Dhabi Grand Prix,1.0,SUPERSOFT,41.0,216521
20,Abu Dhabi Grand Prix,2.0,ULTRASOFT,13.0,68653
