Driver,GranPrix,Stint,Compound,TireLife,TireMeteres
27,Azerbaijan Grand Prix,1.0,SOFT,8.0,48024
27,Azerbaijan Grand Prix,2.0,MEDIUM,26.0,156078
27,Azerbaijan Grand Prix,3.0,SOFT,16.0,96048
