DriverID,Driver,Year,GranPrix,Location,Stint,Compound,TireLife,#TireMeters,NormalizedTireMeters
10,GAS,2024,Azerbaijan Grand Prix,Baku,1.0,HARD,50.0,300150,0.9615384615384616
10,GAS,2024,Azerbaijan Grand Prix,Baku,2.0,SOFT,1.0,6003,0.019230769230769232
