DriverID,Driver,Year,GranPrix,Location,Stint,Compound,TireLife,TireMeters,NormalizedTireMeters
1,VER,2022,Saudi Arabian Grand Prix,Jeddah,1.0,MEDIUM,16.0,98784,0.3164571560373659
1,VER,2022,Saudi Arabian Grand Prix,Jeddah,2.0,HARD,34.0,209916,0.6724714565794027
