Driver,GranPrix,Stint,Compound,TireLife,TireMeteres
5,Brazilian Grand Prix,1.0,SOFT,28.0,120652
5,Brazilian Grand Prix,2.0,MEDIUM,24.0,103416
5,Brazilian Grand Prix,3.0,SOFT,19.0,81871
