Driver,GranPrix,Stint,Compound,TireLife,TireMeteres
55,German Grand Prix,1.0,ULTRASOFT,22.0,100628
55,German Grand Prix,2.0,MEDIUM,30.0,137220
55,German Grand Prix,3.0,INTERMEDIATE,6.0,27444
55,German Grand Prix,4.0,ULTRASOFT,14.0,64036
