Driver,GranPrix,Stint,Compound,TireLife,TireMeteres
26,Chinese Grand Prix,2.0,MEDIUM,25.0,136275
26,Chinese Grand Prix,3.0,HARD,5.0,27255
26,Chinese Grand Prix,4.0,SOFT,11.0,59961
