DriverID,Driver,Year,GranPrix,Location,Stint,Compound,TireLife,#TireMeters,NormalizedTireMeters
24,ZHO,2024,Singapore Grand Prix,Marina Bay,1.0,HARD,34.0,0,0.0
24,ZHO,2024,Singapore Grand Prix,Marina Bay,2.0,MEDIUM,27.0,0,0.0
