DriverID,Driver,Year,GranPrix,Location,Stint,Compound,TireLife,#TireMeters,NormalizedTireMeters
14,ALO,2024,Dutch Grand Prix,Zandvoort,1.0,MEDIUM,31.0,132029,0.4229583925985725
14,ALO,2024,Dutch Grand Prix,Zandvoort,2.0,HARD,40.0,170360,0.5457527646433193
