TimeStamp,Year,GP,Session,Length_Track,Total_Laps,Temperature_Track,Air_Temperature,Compound,LapTime,Driver
0 days 01:26:40.995000,2023,Monza,R,5793,53,43.2,29.4,MEDIUM,0 days 00:01:25.976000,SAI
0 days 01:28:07.062000,2023,Monza,R,5793,53,43.1,29.5,MEDIUM,0 days 00:01:26.067000,SAI
0 days 01:29:33.485000,2023,Monza,R,5793,53,43.3,29.5,MEDIUM,0 days 00:01:26.423000,SAI
0 days 01:31:00.100000,2023,Monza,R,5793,53,43.4,29.7,MEDIUM,0 days 00:01:26.615000,SAI
0 days 01:32:26.458000,2023,Monza,R,5793,53,43.6,29.7,MEDIUM,0 days 00:01:26.358000,SAI
0 days 01:33:52.682000,2023,Monza,R,5793,53,43.6,29.7,MEDIUM,0 days 00:01:26.224000,SAI
0 days 01:35:19.158000,2023,Monza,R,5793,53,43.9,29.8,MEDIUM,0 days 00:01:26.476000,SAI
0 days 01:36:45.669000,2023,Monza,R,5793,53,43.9,29.9,MEDIUM,0 days 00:01:26.511000,SAI
0 days 01:38:12.360000,2023,Monza,R,5793,53,43.3,29.9,MEDIUM,0 days 00:01:26.691000,SAI
0 days 01:39:38.768000,2023,Monza,R,5793,53,43.1,29.8,MEDIUM,0 days 00:01:26.408000,SAI
0 days 01:41:05.655000,2023,Monza,R,5793,53,43.7,29.9,MEDIUM,0 days 00:01:26.887000,SAI
0 days 01:42:32.627000,2023,Monza,R,5793,53,43.7,30.0,MEDIUM,0 days 00:01:26.972000,SAI
0 days 01:44:00.846000,2023,Monza,R,5793,53,43.5,30.0,MEDIUM,0 days 00:01:28.219000,SAI
0 days 01:45:28.169000,2023,Monza,R,5793,53,43.7,29.9,MEDIUM,0 days 00:01:27.323000,SAI
0 days 01:46:55.890000,2023,Monza,R,5793,53,43.5,29.8,MEDIUM,0 days 00:01:27.721000,SAI
0 days 01:48:23.402000,2023,Monza,R,5793,53,43.6,29.8,MEDIUM,0 days 00:01:27.512000,SAI
0 days 01:49:55.314000,2023,Monza,R,5793,53,44.3,29.9,MEDIUM,0 days 00:01:31.912000,SAI
0 days 01:51:42.076000,2023,Monza,R,5793,53,44.3,30.0,HARD,0 days 00:01:46.762000,SAI
0 days 01:53:08.222000,2023,Monza,R,5793,53,43.7,30.0,HARD,0 days 00:01:26.146000,SAI
0 days 01:54:33.780000,2023,Monza,R,5793,53,43.7,29.9,HARD,0 days 00:01:25.558000,SAI
0 days 01:55:59.573000,2023,Monza,R,5793,53,43.6,29.9,HARD,0 days 00:01:25.793000,SAI
0 days 01:57:25.475000,2023,Monza,R,5793,53,43.5,29.9,HARD,0 days 00:01:25.902000,SAI
0 days 01:58:51.480000,2023,Monza,R,5793,53,43.6,29.8,HARD,0 days 00:01:26.005000,SAI
0 days 02:00:17.316000,2023,Monza,R,5793,53,43.4,29.9,HARD,0 days 00:01:25.836000,SAI
0 days 02:01:43.481000,2023,Monza,R,5793,53,43.0,29.9,HARD,0 days 00:01:26.165000,SAI
0 days 02:03:09.251000,2023,Monza,R,5793,53,42.9,29.9,HARD,0 days 00:01:25.770000,SAI
0 days 02:04:34.971000,2023,Monza,R,5793,53,42.5,29.7,HARD,0 days 00:01:25.720000,SAI
0 days 02:06:00.472000,2023,Monza,R,5793,53,42.5,29.7,HARD,0 days 00:01:25.501000,SAI
0 days 02:07:26.190000,2023,Monza,R,5793,53,42.6,29.8,HARD,0 days 00:01:25.718000,SAI
0 days 02:08:52.086000,2023,Monza,R,5793,53,42.6,29.9,HARD,0 days 00:01:25.896000,SAI
0 days 02:10:18.012000,2023,Monza,R,5793,53,42.5,29.8,HARD,0 days 00:01:25.926000,SAI
0 days 02:11:44.138000,2023,Monza,R,5793,53,42.6,29.8,HARD,0 days 00:01:26.126000,SAI
0 days 02:13:09.927000,2023,Monza,R,5793,53,42.5,29.9,HARD,0 days 00:01:25.789000,SAI
0 days 02:14:35.938000,2023,Monza,R,5793,53,42.5,30.0,HARD,0 days 00:01:26.011000,SAI
0 days 02:16:01.824000,2023,Monza,R,5793,53,42.5,30.1,HARD,0 days 00:01:25.886000,SAI
0 days 02:17:27.529000,2023,Monza,R,5793,53,42.8,30.0,HARD,0 days 00:01:25.705000,SAI
0 days 02:18:53.453000,2023,Monza,R,5793,53,42.6,30.0,HARD,0 days 00:01:25.924000,SAI
0 days 02:20:19.575000,2023,Monza,R,5793,53,42.9,30.1,HARD,0 days 00:01:26.122000,SAI
0 days 02:21:46.313000,2023,Monza,R,5793,53,42.9,30.2,HARD,0 days 00:01:26.738000,SAI
0 days 02:23:12.792000,2023,Monza,R,5793,53,42.5,30.2,HARD,0 days 00:01:26.479000,SAI
0 days 02:24:39.381000,2023,Monza,R,5793,53,42.5,30.1,HARD,0 days 00:01:26.589000,SAI
0 days 02:26:05.811000,2023,Monza,R,5793,53,41.7,30.0,HARD,0 days 00:01:26.430000,SAI
0 days 02:27:32.443000,2023,Monza,R,5793,53,41.6,30.0,HARD,0 days 00:01:26.632000,SAI
0 days 02:28:59.746000,2023,Monza,R,5793,53,41.8,30.0,HARD,0 days 00:01:27.303000,SAI
0 days 02:30:26.842000,2023,Monza,R,5793,53,41.2,30.1,HARD,0 days 00:01:27.096000,SAI
0 days 02:31:53.642000,2023,Monza,R,5793,53,41.2,30.0,HARD,0 days 00:01:26.800000,SAI
0 days 02:33:20.412000,2023,Monza,R,5793,53,40.8,30.0,HARD,0 days 00:01:26.770000,SAI
0 days 02:34:47.188000,2023,Monza,R,5793,53,40.8,30.0,HARD,0 days 00:01:26.776000,SAI
0 days 02:36:14.232000,2023,Monza,R,5793,53,40.8,30.0,HARD,0 days 00:01:27.044000,SAI
0 days 02:39:36.349000,2023,Monza,R,5793,53,39.3,29.9,HARD,,SAI
0 days 01:23:51.235000,2023,Monza,R,5793,53,42.5,29.2,MEDIUM,0 days 00:01:29.339000,RUS
0 days 01:25:17.921000,2023,Monza,R,5793,53,43.2,29.3,MEDIUM,0 days 00:01:26.686000,RUS
0 days 01:26:44.097000,2023,Monza,R,5793,53,43.2,29.4,MEDIUM,0 days 00:01:26.176000,RUS
0 days 01:28:10.275000,2023,Monza,R,5793,53,43.1,29.5,MEDIUM,0 days 00:01:26.178000,RUS
0 days 01:29:36.524000,2023,Monza,R,5793,53,43.3,29.5,MEDIUM,0 days 00:01:26.249000,RUS
0 days 01:31:03.039000,2023,Monza,R,5793,53,43.4,29.7,MEDIUM,0 days 00:01:26.515000,RUS
0 days 01:32:29.554000,2023,Monza,R,5793,53,43.6,29.7,MEDIUM,0 days 00:01:26.515000,RUS
0 days 01:33:56.148000,2023,Monza,R,5793,53,43.6,29.7,MEDIUM,0 days 00:01:26.594000,RUS
0 days 01:35:22.858000,2023,Monza,R,5793,53,43.9,29.8,MEDIUM,0 days 00:01:26.710000,RUS
0 days 01:36:49.513000,2023,Monza,R,5793,53,43.9,29.9,MEDIUM,0 days 00:01:26.655000,RUS
0 days 01:38:16.699000,2023,Monza,R,5793,53,43.3,29.9,MEDIUM,0 days 00:01:27.186000,RUS
0 days 01:39:43.743000,2023,Monza,R,5793,53,43.1,29.8,MEDIUM,0 days 00:01:27.044000,RUS
0 days 01:41:10.705000,2023,Monza,R,5793,53,43.7,30.1,MEDIUM,0 days 00:01:26.962000,RUS
0 days 01:42:37.990000,2023,Monza,R,5793,53,43.7,30.0,MEDIUM,0 days 00:01:27.285000,RUS
0 days 01:44:04.995000,2023,Monza,R,5793,53,43.5,30.0,MEDIUM,0 days 00:01:27.005000,RUS
0 days 01:45:32.971000,2023,Monza,R,5793,53,43.7,29.9,MEDIUM,0 days 00:01:27.976000,RUS
0 days 01:47:00.026000,2023,Monza,R,5793,53,43.5,29.8,MEDIUM,0 days 00:01:27.055000,RUS
0 days 01:48:27.409000,2023,Monza,R,5793,53,43.6,29.8,MEDIUM,0 days 00:01:27.383000,RUS
0 days 01:49:59.294000,2023,Monza,R,5793,53,44.3,29.9,MEDIUM,0 days 00:01:31.885000,RUS
0 days 01:51:44.604000,2023,Monza,R,5793,53,44.3,30.0,HARD,0 days 00:01:45.310000,RUS
0 days 01:53:11.060000,2023,Monza,R,5793,53,43.7,30.0,HARD,0 days 00:01:26.456000,RUS
0 days 01:54:37.775000,2023,Monza,R,5793,53,43.7,29.9,HARD,0 days 00:01:26.715000,RUS
0 days 01:56:04.380000,2023,Monza,R,5793,53,43.6,29.9,HARD,0 days 00:01:26.605000,RUS
0 days 01:57:31.051000,2023,Monza,R,5793,53,43.5,29.9,HARD,0 days 00:01:26.671000,RUS
0 days 01:58:57.371000,2023,Monza,R,5793,53,43.6,29.8,HARD,0 days 00:01:26.320000,RUS
0 days 02:00:23.781000,2023,Monza,R,5793,53,43.4,29.9,HARD,0 days 00:01:26.410000,RUS
0 days 02:01:49.965000,2023,Monza,R,5793,53,43.0,29.9,HARD,0 days 00:01:26.184000,RUS
0 days 02:03:16.249000,2023,Monza,R,5793,53,42.9,29.9,HARD,0 days 00:01:26.284000,RUS
0 days 02:04:42.389000,2023,Monza,R,5793,53,42.5,29.7,HARD,0 days 00:01:26.140000,RUS
0 days 02:06:08.355000,2023,Monza,R,5793,53,42.8,29.8,HARD,0 days 00:01:25.966000,RUS
0 days 02:07:34.503000,2023,Monza,R,5793,53,42.6,29.8,HARD,0 days 00:01:26.148000,RUS
0 days 02:09:00.562000,2023,Monza,R,5793,53,42.6,29.9,HARD,0 days 00:01:26.059000,RUS
0 days 02:10:26.723000,2023,Monza,R,5793,53,42.5,29.8,HARD,0 days 00:01:26.161000,RUS
0 days 02:11:52.842000,2023,Monza,R,5793,53,42.6,29.8,HARD,0 days 00:01:26.119000,RUS
0 days 02:13:19.031000,2023,Monza,R,5793,53,42.5,29.9,HARD,0 days 00:01:26.189000,RUS
0 days 02:14:45.402000,2023,Monza,R,5793,53,42.5,30.0,HARD,0 days 00:01:26.371000,RUS
0 days 02:16:11.399000,2023,Monza,R,5793,53,42.8,30.0,HARD,0 days 00:01:25.997000,RUS
0 days 02:17:37.246000,2023,Monza,R,5793,53,42.8,30.0,HARD,0 days 00:01:25.847000,RUS
0 days 02:19:03.456000,2023,Monza,R,5793,53,42.6,30.0,HARD,0 days 00:01:26.210000,RUS
0 days 02:20:29.700000,2023,Monza,R,5793,53,42.9,30.1,HARD,0 days 00:01:26.244000,RUS
0 days 02:21:56.314000,2023,Monza,R,5793,53,42.9,30.2,HARD,0 days 00:01:26.614000,RUS
0 days 02:23:22.649000,2023,Monza,R,5793,53,42.5,30.2,HARD,0 days 00:01:26.335000,RUS
0 days 02:24:49.075000,2023,Monza,R,5793,53,42.5,30.1,HARD,0 days 00:01:26.426000,RUS
0 days 02:26:15.411000,2023,Monza,R,5793,53,41.7,30.0,HARD,0 days 00:01:26.336000,RUS
0 days 02:27:41.805000,2023,Monza,R,5793,53,41.6,30.0,HARD,0 days 00:01:26.394000,RUS
0 days 02:29:08.263000,2023,Monza,R,5793,53,41.2,30.0,HARD,0 days 00:01:26.458000,RUS
0 days 02:30:34.903000,2023,Monza,R,5793,53,41.2,30.1,HARD,0 days 00:01:26.640000,RUS
0 days 02:32:01.190000,2023,Monza,R,5793,53,41.2,30.0,HARD,0 days 00:01:26.287000,RUS
0 days 02:33:27.565000,2023,Monza,R,5793,53,40.8,30.0,HARD,0 days 00:01:26.375000,RUS
0 days 02:34:54.439000,2023,Monza,R,5793,53,40.8,30.0,HARD,0 days 00:01:26.874000,RUS
0 days 02:36:21.067000,2023,Monza,R,5793,53,40.8,30.0,HARD,0 days 00:01:26.628000,RUS
0 days 02:39:03.828000,2023,Monza,R,5793,53,39.3,29.9,HARD,,RUS
0 days 01:23:56.707000,2023,Monza,R,5793,53,42.5,29.2,HARD,0 days 00:01:34.811000,BOT
0 days 01:25:24.739000,2023,Monza,R,5793,53,43.2,29.3,HARD,0 days 00:01:28.032000,BOT
0 days 01:26:52.689000,2023,Monza,R,5793,53,43.2,29.4,HARD,0 days 00:01:27.950000,BOT
0 days 01:28:19.808000,2023,Monza,R,5793,53,43.1,29.5,HARD,0 days 00:01:27.119000,BOT
0 days 01:29:47.383000,2023,Monza,R,5793,53,43.3,29.5,HARD,0 days 00:01:27.575000,BOT
0 days 01:31:14.533000,2023,Monza,R,5793,53,43.6,29.6,HARD,0 days 00:01:27.150000,BOT
0 days 01:32:41.893000,2023,Monza,R,5793,53,43.6,29.7,HARD,0 days 00:01:27.360000,BOT
0 days 01:34:09.120000,2023,Monza,R,5793,53,44.1,29.8,HARD,0 days 00:01:27.227000,BOT
0 days 01:35:36.385000,2023,Monza,R,5793,53,43.9,29.8,HARD,0 days 00:01:27.265000,BOT
0 days 01:37:04.248000,2023,Monza,R,5793,53,43.9,29.9,HARD,0 days 00:01:27.863000,BOT
0 days 01:38:31.941000,2023,Monza,R,5793,53,43.3,29.9,HARD,0 days 00:01:27.693000,BOT
0 days 01:40:00.657000,2023,Monza,R,5793,53,43.1,29.8,HARD,0 days 00:01:28.716000,BOT
0 days 01:41:28.664000,2023,Monza,R,5793,53,43.7,30.1,HARD,0 days 00:01:28.007000,BOT
0 days 01:42:56.655000,2023,Monza,R,5793,53,43.7,30.0,HARD,0 days 00:01:27.991000,BOT
0 days 01:44:24.082000,2023,Monza,R,5793,53,43.9,30.0,HARD,0 days 00:01:27.427000,BOT
0 days 01:45:51.906000,2023,Monza,R,5793,53,43.7,29.9,HARD,0 days 00:01:27.824000,BOT
0 days 01:47:19.376000,2023,Monza,R,5793,53,43.5,29.7,HARD,0 days 00:01:27.470000,BOT
0 days 01:48:47.010000,2023,Monza,R,5793,53,43.6,29.8,HARD,0 days 00:01:27.634000,BOT
0 days 01:50:14.735000,2023,Monza,R,5793,53,44.4,30.0,HARD,0 days 00:01:27.725000,BOT
0 days 01:51:43.173000,2023,Monza,R,5793,53,44.3,30.0,HARD,0 days 00:01:28.438000,BOT
0 days 01:53:12.217000,2023,Monza,R,5793,53,43.7,30.0,HARD,0 days 00:01:29.044000,BOT
0 days 01:54:40.333000,2023,Monza,R,5793,53,43.7,29.9,HARD,0 days 00:01:28.116000,BOT
0 days 01:56:08.456000,2023,Monza,R,5793,53,43.5,29.9,HARD,0 days 00:01:28.123000,BOT
0 days 01:57:36.478000,2023,Monza,R,5793,53,43.5,29.9,HARD,0 days 00:01:28.022000,BOT
0 days 01:59:09.292000,2023,Monza,R,5793,53,43.4,29.9,HARD,0 days 00:01:32.814000,BOT
0 days 02:00:55.867000,2023,Monza,R,5793,53,43.4,29.9,MEDIUM,0 days 00:01:46.575000,BOT
0 days 02:02:21.855000,2023,Monza,R,5793,53,43.3,29.9,MEDIUM,0 days 00:01:25.988000,BOT
0 days 02:03:48.341000,2023,Monza,R,5793,53,42.9,29.9,MEDIUM,0 days 00:01:26.486000,BOT
0 days 02:05:14.542000,2023,Monza,R,5793,53,42.5,29.7,MEDIUM,0 days 00:01:26.201000,BOT
0 days 02:06:41.185000,2023,Monza,R,5793,53,42.8,29.8,MEDIUM,0 days 00:01:26.643000,BOT
0 days 02:08:07.833000,2023,Monza,R,5793,53,42.6,29.9,MEDIUM,0 days 00:01:26.648000,BOT
0 days 02:09:34.439000,2023,Monza,R,5793,53,42.4,29.8,MEDIUM,0 days 00:01:26.606000,BOT
0 days 02:11:01.312000,2023,Monza,R,5793,53,42.5,29.8,MEDIUM,0 days 00:01:26.873000,BOT
0 days 02:12:27.933000,2023,Monza,R,5793,53,42.6,29.8,MEDIUM,0 days 00:01:26.621000,BOT
0 days 02:13:54.456000,2023,Monza,R,5793,53,42.5,29.9,MEDIUM,0 days 00:01:26.523000,BOT
0 days 02:15:21.238000,2023,Monza,R,5793,53,42.5,30.1,MEDIUM,0 days 00:01:26.782000,BOT
0 days 02:16:47.783000,2023,Monza,R,5793,53,42.8,30.0,MEDIUM,0 days 00:01:26.545000,BOT
0 days 02:18:14.876000,2023,Monza,R,5793,53,42.6,30.0,MEDIUM,0 days 00:01:27.093000,BOT
0 days 02:19:41.857000,2023,Monza,R,5793,53,42.8,30.0,MEDIUM,0 days 00:01:26.981000,BOT
0 days 02:21:09.719000,2023,Monza,R,5793,53,42.9,30.2,MEDIUM,0 days 00:01:27.862000,BOT
0 days 02:22:36.922000,2023,Monza,R,5793,53,42.5,30.3,MEDIUM,0 days 00:01:27.203000,BOT
0 days 02:24:03.786000,2023,Monza,R,5793,53,42.5,30.2,MEDIUM,0 days 00:01:26.864000,BOT
0 days 02:25:31.539000,2023,Monza,R,5793,53,41.7,30.0,MEDIUM,0 days 00:01:27.753000,BOT
0 days 02:26:58.501000,2023,Monza,R,5793,53,41.7,30.0,MEDIUM,0 days 00:01:26.962000,BOT
0 days 02:28:25.390000,2023,Monza,R,5793,53,41.8,30.0,MEDIUM,0 days 00:01:26.889000,BOT
0 days 02:29:52.196000,2023,Monza,R,5793,53,41.2,30.0,MEDIUM,0 days 00:01:26.806000,BOT
0 days 02:31:18.932000,2023,Monza,R,5793,53,41.2,30.0,MEDIUM,0 days 00:01:26.736000,BOT
0 days 02:32:45.937000,2023,Monza,R,5793,53,41.0,30.0,MEDIUM,0 days 00:01:27.005000,BOT
0 days 02:34:13.071000,2023,Monza,R,5793,53,40.8,30.0,MEDIUM,0 days 00:01:27.134000,BOT
0 days 02:35:40.021000,2023,Monza,R,5793,53,40.8,30.0,MEDIUM,0 days 00:01:26.950000,BOT
0 days 02:40:06.269000,2023,Monza,R,5793,53,39.3,29.9,MEDIUM,,BOT
0 days 01:23:52.211000,2023,Monza,R,5793,53,42.5,29.2,MEDIUM,0 days 00:01:30.315000,PIA
0 days 01:25:20.264000,2023,Monza,R,5793,53,43.2,29.3,MEDIUM,0 days 00:01:28.053000,PIA
0 days 01:26:47.246000,2023,Monza,R,5793,53,43.2,29.4,MEDIUM,0 days 00:01:26.982000,PIA
0 days 01:28:14.250000,2023,Monza,R,5793,53,43.1,29.5,MEDIUM,0 days 00:01:27.004000,PIA
0 days 01:29:41.159000,2023,Monza,R,5793,53,43.3,29.5,MEDIUM,0 days 00:01:26.909000,PIA
0 days 01:31:08.037000,2023,Monza,R,5793,53,43.6,29.6,MEDIUM,0 days 00:01:26.878000,PIA
0 days 01:32:34.977000,2023,Monza,R,5793,53,43.6,29.7,MEDIUM,0 days 00:01:26.940000,PIA
0 days 01:34:01.827000,2023,Monza,R,5793,53,43.6,29.7,MEDIUM,0 days 00:01:26.850000,PIA
0 days 01:35:28.691000,2023,Monza,R,5793,53,43.9,29.8,MEDIUM,0 days 00:01:26.864000,PIA
0 days 01:36:55.514000,2023,Monza,R,5793,53,43.9,29.9,MEDIUM,0 days 00:01:26.823000,PIA
0 days 01:38:22.731000,2023,Monza,R,5793,53,43.3,29.9,MEDIUM,0 days 00:01:27.217000,PIA
0 days 01:39:50.185000,2023,Monza,R,5793,53,43.1,29.8,MEDIUM,0 days 00:01:27.454000,PIA
0 days 01:41:17.703000,2023,Monza,R,5793,53,43.7,30.1,MEDIUM,0 days 00:01:27.518000,PIA
0 days 01:42:45.074000,2023,Monza,R,5793,53,43.7,30.0,MEDIUM,0 days 00:01:27.371000,PIA
0 days 01:44:12.812000,2023,Monza,R,5793,53,43.9,30.0,MEDIUM,0 days 00:01:27.738000,PIA
0 days 01:45:40.013000,2023,Monza,R,5793,53,43.7,29.9,MEDIUM,0 days 00:01:27.201000,PIA
0 days 01:47:07.453000,2023,Monza,R,5793,53,43.5,29.7,MEDIUM,0 days 00:01:27.440000,PIA
0 days 01:48:34.851000,2023,Monza,R,5793,53,43.6,29.8,MEDIUM,0 days 00:01:27.398000,PIA
0 days 01:50:02.203000,2023,Monza,R,5793,53,44.3,29.9,MEDIUM,0 days 00:01:27.352000,PIA
0 days 01:51:29.949000,2023,Monza,R,5793,53,44.3,30.0,MEDIUM,0 days 00:01:27.746000,PIA
0 days 01:52:57.536000,2023,Monza,R,5793,53,44.0,30.0,MEDIUM,0 days 00:01:27.587000,PIA
0 days 01:54:24.955000,2023,Monza,R,5793,53,43.7,29.9,MEDIUM,0 days 00:01:27.419000,PIA
0 days 01:55:56.821000,2023,Monza,R,5793,53,43.6,29.9,MEDIUM,0 days 00:01:31.866000,PIA
0 days 01:57:43.675000,2023,Monza,R,5793,53,43.5,29.9,HARD,0 days 00:01:46.854000,PIA
0 days 01:59:10.086000,2023,Monza,R,5793,53,43.4,29.9,HARD,0 days 00:01:26.411000,PIA
0 days 02:00:36.373000,2023,Monza,R,5793,53,43.4,29.9,HARD,0 days 00:01:26.287000,PIA
0 days 02:02:02.621000,2023,Monza,R,5793,53,43.0,29.9,HARD,0 days 00:01:26.248000,PIA
0 days 02:03:29.232000,2023,Monza,R,5793,53,42.9,29.9,HARD,0 days 00:01:26.611000,PIA
0 days 02:04:55.364000,2023,Monza,R,5793,53,42.5,29.7,HARD,0 days 00:01:26.132000,PIA
0 days 02:06:22.438000,2023,Monza,R,5793,53,42.8,29.8,HARD,0 days 00:01:27.074000,PIA
0 days 02:07:49.298000,2023,Monza,R,5793,53,42.6,29.8,HARD,0 days 00:01:26.860000,PIA
0 days 02:09:16.044000,2023,Monza,R,5793,53,42.4,29.8,HARD,0 days 00:01:26.746000,PIA
0 days 02:10:42.489000,2023,Monza,R,5793,53,42.5,29.8,HARD,0 days 00:01:26.445000,PIA
0 days 02:12:09.206000,2023,Monza,R,5793,53,42.6,29.8,HARD,0 days 00:01:26.717000,PIA
0 days 02:13:35.483000,2023,Monza,R,5793,53,42.5,29.9,HARD,0 days 00:01:26.277000,PIA
0 days 02:15:02.122000,2023,Monza,R,5793,53,42.5,30.0,HARD,0 days 00:01:26.639000,PIA
0 days 02:16:28.928000,2023,Monza,R,5793,53,42.8,30.0,HARD,0 days 00:01:26.806000,PIA
0 days 02:17:56.074000,2023,Monza,R,5793,53,42.8,30.0,HARD,0 days 00:01:27.146000,PIA
0 days 02:19:23.240000,2023,Monza,R,5793,53,42.8,30.0,HARD,0 days 00:01:27.166000,PIA
0 days 02:20:50.093000,2023,Monza,R,5793,53,42.9,30.1,HARD,0 days 00:01:26.853000,PIA
0 days 02:22:24.613000,2023,Monza,R,5793,53,42.5,30.3,HARD,0 days 00:01:34.520000,PIA
0 days 02:24:18.206000,2023,Monza,R,5793,53,42.5,30.1,MEDIUM,0 days 00:01:53.593000,PIA
0 days 02:25:43.278000,2023,Monza,R,5793,53,41.7,30.0,MEDIUM,0 days 00:01:25.072000,PIA
0 days 02:27:08.968000,2023,Monza,R,5793,53,41.6,30.0,MEDIUM,0 days 00:01:25.690000,PIA
0 days 02:28:35.107000,2023,Monza,R,5793,53,41.8,30.0,MEDIUM,0 days 00:01:26.139000,PIA
0 days 02:30:00.839000,2023,Monza,R,5793,53,41.2,30.0,MEDIUM,0 days 00:01:25.732000,PIA
0 days 02:31:27.453000,2023,Monza,R,5793,53,41.2,30.0,MEDIUM,0 days 00:01:26.614000,PIA
0 days 02:32:53.520000,2023,Monza,R,5793,53,41.0,30.0,MEDIUM,0 days 00:01:26.067000,PIA
0 days 02:34:19.361000,2023,Monza,R,5793,53,40.8,30.0,MEDIUM,0 days 00:01:25.841000,PIA
0 days 02:35:44.954000,2023,Monza,R,5793,53,40.8,30.0,MEDIUM,0 days 00:01:25.593000,PIA
0 days 02:39:15.549000,2023,Monza,R,5793,53,39.3,29.9,MEDIUM,,PIA
