Giro,TempoGiro,TempoGiro_sec,Posizione,PilotaDavanti,DistaccoDavanti_sec,PilotaDietro,DistaccoDietro_sec
1.0,0 days 00:01:27.117000,87.117,2.0,,,VER,0.788
2.0,0 days 00:01:26.006000,86.006,1.0,,,VER,0.157
3.0,0 days 00:01:25.976000,85.976,1.0,,,VER,-0.274
4.0,0 days 00:01:26.067000,86.067,1.0,,,VER,-0.017000000000000015
5.0,0 days 00:01:26.423000,86.423,1.0,,,VER,-0.247
6.0,0 days 00:01:26.615000,86.615,1.0,,,VER,0.222
7.0,0 days 00:01:26.358000,86.358,1.0,,,VER,0.01
8.0,0 days 00:01:26.224000,86.224,1.0,,,VER,-0.23399999999999999
9.0,0 days 00:01:26.476000,86.476,1.0,,,VER,0.129
10.0,0 days 00:01:26.511000,86.511,1.0,,,VER,0.092
11.0,0 days 00:01:26.691000,86.691,1.0,,,VER,-0.04800000000000004
12.0,0 days 00:01:26.408000,86.408,1.0,,,VER,0.034
13.0,0 days 00:01:26.887000,86.887,1.0,,,VER,-0.22099999999999997
14.0,0 days 00:01:26.972000,86.972,1.0,,,VER,0.056
15.0,0 days 00:01:28.219000,88.219,2.0,VER,1.437,LEC,-0.905
16.0,0 days 00:01:27.323000,87.323,2.0,VER,0.605,LEC,-0.16800000000000004
17.0,0 days 00:01:27.721000,87.721,2.0,VER,0.988,LEC,-0.051000000000000045
18.0,0 days 00:01:27.512000,87.512,2.0,VER,1.2389999999999999,LEC,-0.014000000000000012
19.0,0 days 00:01:31.912000,91.912,4.0,PER,5.243,RUS,-0.027000000000000024
20.0,0 days 00:01:46.762000,106.762,8.0,ALO,18.478,BOT,-18.324
21.0,0 days 00:01:26.146000,86.146,7.0,ALO,-6.231,LEC,19.696
22.0,0 days 00:01:25.558000,85.558,5.0,NOR,-6.089,LEC,0.184
23.0,0 days 00:01:25.793000,85.793,4.0,PIA,-6.073,LEC,0.014
24.0,0 days 00:01:25.902000,85.902,3.0,VER,-0.42500000000000004,LEC,0.031
25.0,0 days 00:01:26.005000,86.005,3.0,HAM,-1.786,LEC,0.056
26.0,0 days 00:01:25.836000,85.836,3.0,HAM,-1.571,LEC,-0.07299999999999995
27.0,0 days 00:01:26.165000,86.165,2.0,VER,0.664,LEC,0.069
28.0,0 days 00:01:25.770000,85.77,2.0,VER,0.336,LEC,-0.10699999999999998
29.0,0 days 00:01:25.720000,85.72,2.0,VER,0.249,LEC,0.094
30.0,0 days 00:01:25.501000,85.501,2.0,VER,0.103,LEC,0.281
31.0,0 days 00:01:25.718000,85.718,2.0,VER,0.216,LEC,0.778
32.0,0 days 00:01:25.896000,85.896,2.0,VER,0.486,PER,-0.016000000000000014
33.0,0 days 00:01:25.926000,85.926,2.0,VER,0.686,PER,0.094
34.0,0 days 00:01:26.126000,86.126,2.0,VER,0.443,PER,-0.17800000000000005
35.0,0 days 00:01:25.789000,85.789,2.0,VER,-0.026000000000000023,PER,-0.138
36.0,0 days 00:01:26.011000,86.011,2.0,VER,0.413,PER,-0.384
37.0,0 days 00:01:25.886000,85.886,2.0,VER,0.203,PER,-0.129
38.0,0 days 00:01:25.705000,85.705,2.0,VER,0.12,PER,-0.121
39.0,0 days 00:01:25.924000,85.924,2.0,VER,0.438,PER,-0.402
40.0,0 days 00:01:26.122000,86.122,2.0,VER,0.221,PER,-0.496
41.0,0 days 00:01:26.738000,86.738,2.0,VER,0.959,PER,-0.019000000000000017
42.0,0 days 00:01:26.479000,86.479,2.0,VER,0.567,PER,0.06
43.0,0 days 00:01:26.589000,86.589,2.0,VER,0.595,PER,0.035
44.0,0 days 00:01:26.430000,86.43,2.0,VER,0.679,PER,-0.10099999999999998
45.0,0 days 00:01:26.632000,86.632,2.0,VER,0.716,PER,-0.05900000000000005
46.0,0 days 00:01:27.303000,87.303,3.0,PER,1.705,LEC,-0.723
47.0,0 days 00:01:27.096000,87.096,3.0,PER,0.62,LEC,0.275
48.0,0 days 00:01:26.800000,86.8,3.0,PER,0.692,LEC,0.028
49.0,0 days 00:01:26.770000,86.77,3.0,PER,0.764,LEC,-0.137
50.0,0 days 00:01:26.776000,86.776,3.0,PER,0.391,LEC,0.185
51.0,0 days 00:01:27.044000,87.044,3.0,PER,1.141,LEC,-0.261
