LapNumber,Sector,Position,SectorTime,SectorSessionTime,DriverAhead,TimeAhead,DriverBehind,TimeBehind,DeltaToAhead,DeltaToBehind,HalfSecondTimestamp
36.0,3,2.0,0 days 00:00:28.014000,0 days 02:14:38.183000,11,0 days 00:00:27.895000,1,0 days 00:00:28.119000,0.119,-0.10499999999999998,0 days 02:14:38
37.0,3,3.0,0 days 00:00:28.136000,0 days 02:16:03.854000,1,0 days 00:00:28.124000,55,0 days 00:00:28.169000,0.012,-0.03300000000000003,0 days 02:16:03.500000
38.0,3,4.0,0 days 00:00:28.094000,0 days 02:17:29.434000,55,0 days 00:00:28.056000,63,0 days 00:00:28.237000,0.038,-0.14300000000000002,0 days 02:17:29
39.0,3,3.0,0 days 00:00:28.101000,0 days 02:18:55.063000,1,0 days 00:00:28.080000,55,0 days 00:00:28.183000,0.021,-0.08199999999999996,0 days 02:18:55
40.0,3,2.0,0 days 00:00:28.114000,0 days 02:20:20.791000,11,0 days 00:00:27.939000,63,0 days 00:00:28.228000,0.175,-0.11399999999999999,0 days 02:20:20.500000
41.0,3,7.0,0 days 00:00:28.425000,0 days 02:21:47.302000,63,0 days 00:00:28.415000,23,0 days 00:00:28.462000,0.01,-0.03700000000000003,0 days 02:21:47
42.0,3,6.0,0 days 00:00:28.325000,0 days 02:23:13.750000,4,0 days 00:00:28.317000,23,0 days 00:00:28.353000,0.008,-0.028000000000000025,0 days 02:23:13.500000
43.0,3,6.0,0 days 00:00:28.238000,0 days 02:24:40.347000,14,0 days 00:00:28.236000,55,0 days 00:00:28.277000,0.002,-0.039000000000000035,0 days 02:24:40
44.0,3,7.0,0 days 00:00:28.335000,0 days 02:26:06.933000,14,0 days 00:00:28.262000,24,0 days 00:00:28.350000,0.073,-0.015000000000000013,0 days 02:26:06.500000
45.0,3,5.0,0 days 00:00:28.211000,0 days 02:27:33.254000,55,0 days 00:00:28.205000,63,0 days 00:00:28.276000,0.006,-0.06499999999999995,0 days 02:27:33
46.0,3,3.0,0 days 00:00:28.123000,0 days 02:28:59.834000,81,0 days 00:00:28.033000,1,0 days 00:00:28.197000,0.09,-0.07399999999999995,0 days 02:28:59.500000
47.0,3,2.0,0 days 00:00:28.104000,0 days 02:30:27.205000,44,0 days 00:00:28.025000,55,0 days 00:00:28.280000,0.079,-0.17600000000000005,0 days 02:30:27
48.0,3,4.0,0 days 00:00:28.233000,0 days 02:31:54.033000,4,0 days 00:00:28.228000,81,0 days 00:00:28.310000,0.005,-0.07699999999999996,0 days 02:31:54
49.0,3,1.0,0 days 00:00:28.142000,0 days 02:33:20.666000,,,11,0 days 00:00:28.171000,,-0.029000000000000026,0 days 02:33:20.500000
50.0,3,1.0,0 days 00:00:28.021000,0 days 02:34:47.627000,,,81,0 days 00:00:28.077000,,-0.05600000000000005,0 days 02:34:47.500000
51.0,3,2.0,0 days 00:00:28.312000,0 days 02:36:14.410000,11,0 days 00:00:28.140000,44,0 days 00:00:28.351000,0.172,-0.039000000000000035,0 days 02:36:14
