Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,Track_Temp,WindDirection,WindSpeed,Cumulative_Tire_Distance,Driver_Meters,Driver_Ahead,Gap_Ahead,Driver_Behind,Gap_Behind
0 days 00:22:57.829000,VAN,2,0 days 00:01:18.959000,12.0,1.0,,,0 days 00:00:20.913000,0 days 00:00:37.077000,0 days 00:00:20.969000,0 days 00:21:59.835000,0 days 00:22:36.912000,0 days 00:22:57.881000,202.0,187.0,257.0,280.0,False,ULTRASOFT,11.0,True,McLaren,0 days 00:21:38.870000,2018-05-27 13:27:38.900,1,12.0,False,,False,True,27.0,43.3,1015.2,True,33.8,166.0,1.5,36707.0,40044.0,"('HUL',)",-0.30000000000000004,"('LEC',)",0.104
0 days 00:24:17.256000,VAN,2,0 days 00:01:19.427000,13.0,1.0,,,0 days 00:00:20.988000,0 days 00:00:37.330000,0 days 00:00:21.109000,0 days 00:23:18.869000,0 days 00:23:56.199000,0 days 00:24:17.308000,200.0,186.0,256.0,280.0,False,ULTRASOFT,12.0,True,McLaren,0 days 00:22:57.829000,2018-05-27 13:28:57.859,12,12.0,False,,False,True,27.1,43.6,1015.1,False,34.0,179.0,2.4,40044.0,43381.0,"('HUL',)",0.491,"('LEC',)",-0.29300000000000004
0 days 00:25:36.732000,VAN,2,0 days 00:01:19.476000,14.0,1.0,,,0 days 00:00:20.874000,0 days 00:00:37.435000,0 days 00:00:21.167000,0 days 00:24:38.182000,0 days 00:25:15.617000,0 days 00:25:36.784000,,185.0,257.0,280.0,False,ULTRASOFT,13.0,True,McLaren,0 days 00:24:17.256000,2018-05-27 13:30:17.286,1,12.0,False,,False,True,27.15,43.849999999999994,1015.1,False,33.85,148.5,1.5,43381.0,46718.0,"('HUL',)",-0.061000000000000054,"('VER',)",-0.258
0 days 00:26:56.984000,VAN,2,0 days 00:01:20.252000,15.0,1.0,,,0 days 00:00:20.887000,0 days 00:00:37.902000,0 days 00:00:21.463000,0 days 00:25:57.671000,0 days 00:26:35.573000,0 days 00:26:57.036000,203.0,183.0,257.0,280.0,False,ULTRASOFT,14.0,True,McLaren,0 days 00:25:36.732000,2018-05-27 13:31:36.762,1,12.0,False,,False,True,27.2,43.8,1015.1,False,33.7,137.0,1.0,46718.0,50055.0,"('HUL',)",0.461,"('VER',)",-0.952
0 days 00:28:18.169000,VAN,2,0 days 00:01:21.185000,16.0,1.0,,,0 days 00:00:21.156000,0 days 00:00:38.552000,0 days 00:00:21.477000,0 days 00:27:18.192000,0 days 00:27:56.744000,0 days 00:28:18.221000,,178.0,256.0,280.0,False,ULTRASOFT,15.0,True,McLaren,0 days 00:26:56.984000,2018-05-27 13:32:57.014,1,11.0,False,,False,True,27.2,44.2,1015.2,False,34.0,174.0,1.4,50055.0,53392.0,"('HUL',)",1.046,"('VER',)",0.026
0 days 00:29:38.860000,VAN,2,0 days 00:01:20.691000,17.0,1.0,,,0 days 00:00:21.253000,0 days 00:00:37.888000,0 days 00:00:21.550000,0 days 00:28:39.474000,0 days 00:29:17.362000,0 days 00:29:38.912000,196.0,184.0,256.0,279.0,False,ULTRASOFT,16.0,True,McLaren,0 days 00:28:18.169000,2018-05-27 13:34:18.199,1,11.0,False,,False,True,27.25,44.1,1015.2,False,33.95,155.0,1.15,53392.0,56729.0,"('HUL',)",0.74,"('VER',)",0.022
0 days 00:31:00.049000,VAN,2,0 days 00:01:21.189000,18.0,1.0,,,0 days 00:00:21.406000,0 days 00:00:38.065000,0 days 00:00:21.718000,0 days 00:30:00.318000,0 days 00:30:38.383000,0 days 00:31:00.101000,,176.0,257.0,278.0,False,ULTRASOFT,17.0,True,McLaren,0 days 00:29:38.860000,2018-05-27 13:35:38.890,1,11.0,False,,False,True,27.3,43.9,1015.2,False,34.0,187.0,2.1,56729.0,60066.0,"('HUL',)",1.9889999999999999,"('VER',)",-0.128
0 days 00:32:20.509000,VAN,2,0 days 00:01:20.460000,19.0,1.0,,,0 days 00:00:21.150000,0 days 00:00:37.972000,0 days 00:00:21.338000,0 days 00:31:21.251000,0 days 00:31:59.223000,0 days 00:32:20.561000,202.0,182.0,256.0,278.0,False,ULTRASOFT,18.0,True,McLaren,0 days 00:31:00.049000,2018-05-27 13:37:00.079,1,11.0,False,,False,True,27.4,43.8,1015.2,False,34.4,152.0,0.9,60066.0,63403.0,"('ALO',)",-15.91,"('VER',)",0.112
0 days 00:34:02.135000,VAN,2,0 days 00:01:41.626000,20.0,1.0,,0 days 00:33:36.154000,0 days 00:00:22.136000,0 days 00:00:38.201000,0 days 00:00:41.289000,0 days 00:32:42.697000,0 days 00:33:20.898000,0 days 00:34:02.187000,188.0,179.0,,280.0,False,ULTRASOFT,19.0,True,McLaren,0 days 00:32:20.509000,2018-05-27 13:38:20.539,1,17.0,False,,False,False,27.25,44.8,1015.2,False,33.9,161.5,1.5,63403.0,66740.0,"('MAG',)",24.15,"('GRO',)",-23.861
0 days 00:35:22.329000,VAN,2,0 days 00:01:20.194000,21.0,2.0,0 days 00:34:02.931000,,0 days 00:00:23.250000,0 days 00:00:36.408000,0 days 00:00:20.536000,0 days 00:34:25.437000,0 days 00:35:01.845000,0 days 00:35:22.381000,200.0,189.0,258.0,279.0,False,SUPERSOFT,1.0,True,McLaren,0 days 00:34:02.135000,2018-05-27 13:40:02.165,1,17.0,False,,False,False,27.2,45.1,1015.1,False,33.8,162.0,1.2,3337.0,70077.0,"('MAG',)",2.6,"('GRO',)",-2.54
0 days 00:36:39.953000,VAN,2,0 days 00:01:17.624000,22.0,2.0,,,0 days 00:00:20.572000,0 days 00:00:36.395000,0 days 00:00:20.657000,0 days 00:35:42.953000,0 days 00:36:19.348000,0 days 00:36:40.005000,205.0,188.0,257.0,280.0,True,SUPERSOFT,2.0,True,McLaren,0 days 00:35:22.329000,2018-05-27 13:41:22.359,1,17.0,False,,False,True,27.2,45.6,1015.1,False,34.1,170.0,1.5,6674.0,73414.0,"('MAG',)",-0.23399999999999999,"('GRO',)",0.091
