LapNumber,Sector,Position,SectorTime,SectorSessionTime,DriverAhead,TimeAhead,DriverBehind,TimeBehind,DeltaToAhead,DeltaToBehind,HalfSecondTimestamp
2.0,1,4.0,0 days 00:00:27.707000,0 days 00:57:46.661000,44,0 days 00:00:27.701000,81,0 days 00:00:27.751000,0.006,-0.04400000000000004,0 days 00:57:46.500000
3.0,1,11.0,0 days 00:00:27.679000,0 days 00:59:12.029000,18,0 days 00:00:27.671000,1,0 days 00:00:27.731000,0.008,-0.052000000000000046,0 days 00:59:12
4.0,1,8.0,0 days 00:00:27.653000,0 days 01:00:37.182000,44,0 days 00:00:27.650000,27,0 days 00:00:27.663000,0.003,-0.010000000000000009,0 days 01:00:37
5.0,1,5.0,0 days 00:00:27.630000,0 days 01:02:01.969000,55,0 days 00:00:27.585000,18,0 days 00:00:27.636000,0.045,-0.006000000000000005,0 days 01:02:01.500000
6.0,1,5.0,0 days 00:00:27.596000,0 days 01:03:26.538000,44,0 days 00:00:27.565000,43,0 days 00:00:27.633000,0.031,-0.03700000000000003,0 days 01:03:26.500000
7.0,1,9.0,0 days 00:00:27.645000,0 days 01:04:51.250000,14,0 days 00:00:27.644000,20,0 days 00:00:27.670000,0.001,-0.025000000000000022,0 days 01:04:51
8.0,1,2.0,0 days 00:00:27.557000,0 days 01:06:15.596000,63,0 days 00:00:27.494000,11,0 days 00:00:27.589000,0.063,-0.03200000000000003,0 days 01:06:15.500000
9.0,1,4.0,0 days 00:00:27.542000,0 days 01:07:40.150000,11,0 days 00:00:27.531000,55,0 days 00:00:27.599000,0.011,-0.05700000000000005,0 days 01:07:40
10.0,1,3.0,0 days 00:00:27.515000,0 days 01:09:04.485000,11,0 days 00:00:27.446000,44,0 days 00:00:27.537000,0.069,-0.02200000000000002,0 days 01:09:04
11.0,1,4.0,0 days 00:00:27.633000,0 days 01:10:29.035000,81,0 days 00:00:27.600000,44,0 days 00:00:27.640000,0.033,-0.007000000000000006,0 days 01:10:29
12.0,1,4.0,0 days 00:00:27.680000,0 days 01:11:53.928000,44,0 days 00:00:27.672000,27,0 days 00:00:27.705000,0.008,-0.025000000000000022,0 days 01:11:53.500000
13.0,1,10.0,0 days 00:00:27.812000,0 days 01:13:18.976000,1,0 days 00:00:27.806000,31,0 days 00:00:27.841000,0.006,-0.029000000000000026,0 days 01:13:18.500000
14.0,1,11.0,0 days 00:00:27.839000,0 days 01:14:44.532000,81,0 days 00:00:27.812000,23,0 days 00:00:27.867000,0.027,-0.028000000000000025,0 days 01:14:44.500000
17.0,1,3.0,0 days 00:00:27.458000,0 days 01:19:24.837000,20,0 days 00:00:27.413000,63,0 days 00:00:27.493000,0.045,-0.03500000000000003,0 days 01:19:24.500000
18.0,1,3.0,0 days 00:00:27.408000,0 days 01:20:49.057000,44,0 days 00:00:27.403000,14,0 days 00:00:27.422000,0.005,-0.014000000000000012,0 days 01:20:49
19.0,1,1.0,0 days 00:00:27.354000,0 days 01:22:12.878000,,,4,0 days 00:00:27.493000,,-0.139,0 days 01:22:12.500000
20.0,1,3.0,0 days 00:00:27.483000,0 days 01:23:37.210000,4,0 days 00:00:27.463000,23,0 days 00:00:27.500000,0.02,-0.017000000000000015,0 days 01:23:37
21.0,1,3.0,0 days 00:00:27.423000,0 days 01:25:00.976000,4,0 days 00:00:27.420000,81,0 days 00:00:27.438000,0.003,-0.015000000000000013,0 days 01:25:00.500000
22.0,1,2.0,0 days 00:00:27.358000,0 days 01:26:24.791000,4,0 days 00:00:27.332000,81,0 days 00:00:27.447000,0.026,-0.08899999999999997,0 days 01:26:24.500000
23.0,1,4.0,0 days 00:00:27.438000,0 days 01:27:48.639000,18,0 days 00:00:27.408000,44,0 days 00:00:27.498000,0.03,-0.06000000000000005,0 days 01:27:48.500000
24.0,1,3.0,0 days 00:00:27.347000,0 days 01:29:12.412000,81,0 days 00:00:27.339000,4,0 days 00:00:27.359000,0.008,-0.01200000000000001,0 days 01:29:12
25.0,1,3.0,0 days 00:00:27.380000,0 days 01:30:36.085000,11,0 days 00:00:27.309000,44,0 days 00:00:27.382000,0.071,-0.0020000000000000018,0 days 01:30:36
26.0,1,2.0,0 days 00:00:27.356000,0 days 01:31:59.651000,4,0 days 00:00:27.353000,63,0 days 00:00:27.402000,0.003,-0.04600000000000004,0 days 01:31:59.500000
27.0,1,2.5,0 days 00:00:27.380000,0 days 01:33:22.996000,,,,,,,0 days 01:33:22.500000
28.0,1,1.0,0 days 00:00:27.337000,0 days 01:34:46.487000,,,63,0 days 00:00:27.343000,,-0.006000000000000005,0 days 01:34:46
29.0,1,1.0,0 days 00:00:27.336000,0 days 01:36:09.770000,,,44,0 days 00:00:27.354000,,-0.018000000000000016,0 days 01:36:09.500000
30.0,1,3.0,0 days 00:00:27.361000,0 days 01:37:33.024000,44,0 days 00:00:27.347000,4,0 days 00:00:27.443000,0.014,-0.08199999999999996,0 days 01:37:33
31.0,1,1.0,0 days 00:00:27.312000,0 days 01:38:56.334000,,,18,0 days 00:00:27.379000,,-0.06699999999999995,0 days 01:38:56
32.0,1,1.0,0 days 00:00:27.246000,0 days 01:40:20.240000,,,44,0 days 00:00:27.289000,,-0.04300000000000004,0 days 01:40:20
33.0,1,1.0,0 days 00:00:27.189000,0 days 01:41:43.457000,,,44,0 days 00:00:27.300000,,-0.11099999999999999,0 days 01:41:43
34.0,1,3.0,0 days 00:00:27.324000,0 days 01:43:06.818000,27,0 days 00:00:27.184000,18,0 days 00:00:27.349000,0.14,-0.025000000000000022,0 days 01:43:06.500000
35.0,1,6.0,0 days 00:00:27.393000,0 days 01:44:30.317000,81,0 days 00:00:27.392000,18,0 days 00:00:27.402000,0.001,-0.009000000000000008,0 days 01:44:30
36.0,1,2.0,0 days 00:00:27.310000,0 days 01:45:53.915000,4,0 days 00:00:27.244000,63,0 days 00:00:27.329000,0.066,-0.019000000000000017,0 days 01:45:53.500000
37.0,1,2.0,0 days 00:00:27.279000,0 days 01:47:17.598000,4,0 days 00:00:27.264000,63,0 days 00:00:27.318000,0.015,-0.039000000000000035,0 days 01:47:17.500000
38.0,1,4.0,0 days 00:00:27.372000,0 days 01:48:41.241000,4,0 days 00:00:27.288000,14,0 days 00:00:27.472000,0.084,-0.09999999999999998,0 days 01:48:41
39.0,1,8.0,0 days 00:00:27.448000,0 days 01:50:04.941000,1,0 days 00:00:27.433000,27,0 days 00:00:27.474000,0.015,-0.026000000000000023,0 days 01:50:04.500000
40.0,1,7.0,0 days 00:00:27.399000,0 days 01:51:28.610000,14,0 days 00:00:27.398000,11,0 days 00:00:27.426000,0.001,-0.027000000000000024,0 days 01:51:28.500000
41.0,1,9.0,0 days 00:00:27.372000,0 days 01:52:52.273000,14,0 days 00:00:27.354000,63,0 days 00:00:27.443000,0.018,-0.07099999999999995,0 days 01:52:52
42.0,1,8.0,0 days 00:00:27.424000,0 days 01:54:15.936000,55,0 days 00:00:27.422000,18,0 days 00:00:27.461000,0.002,-0.03700000000000003,0 days 01:54:15.500000
43.0,1,7.0,0 days 00:00:27.382000,0 days 01:55:39.564000,27,0 days 00:00:27.345000,63,0 days 00:00:27.400000,0.037,-0.018000000000000016,0 days 01:55:39.500000
